Macrotrends Data Download,,,
,,,
U.S. Healthcare Spending 2000-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, Health Care Per Capita (US $),, 
31-12-2000,4532.7676,,
31-12-2001,4879.9292,,
31-12-2002,5303.1538,,
31-12-2003,5706.8296,,
31-12-2004,6045.938,,
31-12-2005,6402.0293,,
31-12-2006,6776.8662,,
31-12-2007,7130.7168,,
31-12-2008,7346.3506,,
31-12-2009,7601.8721,,
31-12-2010,7832.2666,,
31-12-2011,8020.4399,,
31-12-2012,8272.958,,
31-12-2013,8431.1826,,
31-12-2014,8824.7764,,
31-12-2015,9243.6211,,
31-12-2016,9594.7432,,
31-12-2017,9904.2373,,
31-12-2018,10284.5547,,
31-12-2019,10661.0283,,
31-12-2020,11702.4092,,
